"","scientificName","family","eventDate","decimalLongitude","decimalLatitude","basisOfRecord","date_year","individualCount","identifiedBy","datasetID","datasetName","dataset_id","institutionCode","ownerInstitutionCode","collectionCode","catalogNumber","occurrenceStatus","samplingEffort"
"230","Larus philadelphia","Laridae","2005-02-01T12:08:00",-77.004,34.4272,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_1161","present",NA
"231","Larus argentatus","Laridae","2005-01-31T13:18:00",-76.6963,34.4642,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_1046","present",NA
"232","Morus bassanus","Sulidae","2005-01-20T12:35:00",-75.8295,34.9815,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_624","present",NA
"233","Larus argentatus","Laridae","2005-02-01T13:17:00",-77.0025,34.3123,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_1191","present",NA
"234","Morus bassanus","Sulidae","2005-02-02T12:32:00",-77.0845,34.4388,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_1255","present",NA
"235","Larus philadelphia","Laridae","2005-01-26T15:41:00",-75.8183,34.928,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_993","present",NA
"236","Puffinus gravis","Procellariidae","2004-08-07T11:52:00",-74.7655,35.7487,"HumanObservation",2004,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_54","present",NA
"237","Morus bassanus","Sulidae","2005-01-25T15:29:00",-76.0365,34.913,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_928","present",NA
"238","Larus marinus","Laridae","2005-01-26T11:32:00",-75.9035,34.8945,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_974","present",NA
"239","Morus bassanus","Sulidae","2005-01-20T11:45:00",-75.7483,35.046,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_589","present",NA
"240","Morus bassanus","Sulidae","2005-01-31T13:40:00",-76.7435,34.4563,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_1053","present",NA
"241","Morus bassanus","Sulidae","2005-02-01T10:03:00",-76.7615,34.4473,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_1137","present",NA
"242","Morus bassanus","Sulidae","2005-01-21T09:44:00",-75.7637,35.0493,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_743","present",NA
"243","Morus bassanus","Sulidae","2005-01-19T13:48:00",-75.793,34.9553,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_426","present",NA
"244","Alle alle","Alcidae","2005-02-01T11:38:00",-76.962,34.4462,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_1150","present",NA
"245","Morus bassanus","Sulidae","2005-02-01T12:29:00",-77.0058,34.3922,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_1175","present",NA
"246","Larus philadelphia","Laridae","2005-01-21T12:55:00",-75.7742,34.998,"HumanObservation",2005,2,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_874","present",NA
"247","Alca torda","Alcidae","2005-01-20T13:39:00",-75.9452,34.8988,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_646","present",NA
"248","Morus bassanus","Sulidae","2005-01-21T08:34:00",-75.8908,34.9847,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_703","present",NA
"249","Morus bassanus","Sulidae","2005-01-20T08:46:00",-75.9908,34.9307,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_513","present",NA
"250","Larus argentatus","Laridae","2005-01-26T12:42:00",-75.7553,34.8658,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_987","present",NA
"251","Larus marinus","Laridae","2005-01-19T14:49:00",-75.7415,34.9223,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_443","present",NA
"252","Morus bassanus","Sulidae","2005-01-21T08:52:00",-75.8585,35.0012,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_711","present",NA
"253","Morus bassanus","Sulidae","2005-01-31T14:57:00",-76.7568,34.4925,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_1063","present",NA
"254","Morus bassanus","Sulidae","2005-01-19T11:22:00",-76.1687,34.7355,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_372","present",NA
"255","Morus bassanus","Sulidae","2005-02-01T10:17:00",-76.7912,34.446,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_1140","present",NA
"256","Morus bassanus","Sulidae","2005-02-01T08:01:00",-76.6543,34.5395,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_1094","present",NA
