,Lat,Long,MeanSST,MaxSST,MinSST,MeanSSH,MaxSSH,MinSSH,MeanSa,MaxSa,MinSa,MeanML,MaxML,MinML,MeanNV,MaxNV,MinNV,MeanEV,MaxEv,MinEV
Sp90,-124.821935,45.209774,8.198706,8.598324,7.842791,-0.001297418,0,-0.07458142,32.48077,32.64565,32.34591,0.5597562,26.36945,0,0.000527154,0.08193493,-0.02531583,0.000362747,0.05865367,-0.00592931
Su90,-124.31747,43.109065,13.80167,16.62626,12.89073,0.000209162,0.1546852,-0.02903618,32.50275,32.85659,32.2601,0.1323801,15.13573,0,-1.49E-06,0.04821924,-0.03380288,0.000209125,0.06190898,-0.01031816
Su00,-124.716427,45.387559,12.93769,13.33719,12.69333,-0.000503486,0.0163274,-0.03330586,32.39833,32.45333,32.33635,0.8312755,15.70177,0,0.000379894,0.04919584,-0.03532009,0.001552359,0.05680512,-0.01664276
Su10,-124.765411,45.543629,13.58952,14.29124,13.13439,0.000445652,0.03680306,-0.01197004,32.38553,32.48396,32.26886,0.6765827,14.50194,0,-6.69E-05,0.03858896,-0.02812224,0.00122376,0.05511417,-0.007482687
F90,-123.927295,42.046679,10.9931,13.95682,8.634772,8.48E-05,0.1506016,-0.05225931,32.53979,32.83661,32.30682,0.1308289,48.38637,0,-5.05E-07,0.01912493,-0.01584056,0.00011464,0.06458298,0
F10,-124.615875,42.7935,9.413323,9.491158,9.296301,-0.00136951,0,-0.02530776,32.30836,32.3317,32.27021,2.597647,44.76613,0,0.001108374,0.02070737,0,0.001716749,0.03938018,0
