"","scientificName","family","eventDate","decimalLongitude","decimalLatitude","basisOfRecord","date_year","individualCount","identifiedBy","datasetID","datasetName","dataset_id","institutionCode","ownerInstitutionCode","collectionCode","catalogNumber","occurrenceStatus","samplingEffort"
"72","Larus marinus","Laridae","2005-07-28T17:45:36Z",-69.61541367,43.3029995,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","9954",NA,NA
"73","Larus argentatus","Laridae","2005-07-28T18:15:00Z",-69.58683777,43.24658585,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","10131",NA,NA
"74","Oceanites oceanicus","Hydrobatidae","2005-07-28T20:35:24Z",-70.07958221,43.1159153,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","10980",NA,NA
"75","Larus argentatus","Laridae","2005-07-26T16:03:36Z",-69.51891708,43.1499157,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","9223",NA,NA
"76","Larus argentatus","Laridae","2005-07-20T19:32:24Z",-69.52099991,43.14649963,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","4429",NA,NA
"77","Larus marinus","Laridae","2005-07-11T13:51:00Z",-69.52833176,43.20380974,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","329",NA,NA
"78","Larus marinus","Laridae","2005-07-29T18:15:00Z",-69.5437355,43.19961929,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","11347",NA,NA
"79","Larus marinus","Laridae","2005-07-21T13:55:48Z",-69.4772644,43.09127426,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","6010",NA,NA
"80","Larus marinus","Laridae","2005-07-28T17:42:00Z",-69.61541367,43.3029995,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","9931",NA,NA
"81","Larus argentatus","Laridae","2005-07-28T20:05:24Z",-69.45475388,43.04949951,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","10796",NA,NA
"82","Stercorarius pomarinus","Stercorariidae","2005-07-20T21:01:12Z",-70.12825012,43.12241554,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","4963",NA,NA
"83","Larus argentatus","Laridae","2005-07-12T16:36:00Z",-69.54933929,43.2017746,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","1658",NA,NA
"84","Larus argentatus","Laridae","2005-07-26T17:44:24Z",-70.04224777,43.20700073,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","9828",NA,NA
"85","Fulmarus glacialis","Procellariidae","2005-07-29T18:44:24Z",-69.51305389,43.14562988,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","11528",NA,NA
"86","Oceanites oceanicus","Hydrobatidae","2005-07-28T20:18:36Z",-69.96492004,43.05133057,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","10879",NA,NA
"87","Larus argentatus","Laridae","2005-07-28T18:12:36Z",-69.58683777,43.24658585,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","10115",NA,NA
"88","Oceanites oceanicus","Hydrobatidae","2005-07-21T14:31:48Z",-69.9782486,43.05425453,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","6227",NA,NA
"89","Larus argentatus","Laridae","2005-07-12T15:22:12Z",-69.62282944,43.30359459,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","1213",NA,NA
"90","Puffinus gravis","Procellariidae","2005-07-28T19:25:12Z",-69.51224899,43.14367104,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","10553",NA,NA
"91","Oceanites oceanicus","Hydrobatidae","2005-07-20T19:42:00Z",-69.52099991,43.14649963,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","4489",NA,NA
