"","scientificName","family","eventDate","decimalLongitude","decimalLatitude","basisOfRecord","date_year","individualCount","identifiedBy","datasetID","datasetName","dataset_id","institutionCode","ownerInstitutionCode","collectionCode","catalogNumber","occurrenceStatus","samplingEffort"
"23","Larus atricilla","Laridae","10/2/2017",-53.219573,5.607912,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113795","present",NA
"24","Fregata magnificens","Fregatidae","9/26/2017",-52.559335,5.124257,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_112846","present",NA
"25","Larus atricilla","Laridae","10/5/2017",-53.271808,5.75958,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113809","present",NA
"26","Fregata magnificens","Fregatidae","10/2/2008",-52.05196,5.24406,"HumanObservation",2008,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_743","present",NA
"27","Sula dactylatra","Sulidae","10/6/2017",-52.312525,8.14334,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_118511","present",NA
"28","Fregata magnificens","Fregatidae","10/2/2017",-52.729025,5.683697,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_112852","present",NA
"29","Anous stolidus","Sternidae","9/26/2017",-51.075235,7.071435,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_111850","present",NA
"30","Larus atricilla","Laridae","10/5/2017",-52.480877,5.094072,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113758","present",NA
"31","Sula leucogaster","Sulidae","10/10/2008",-52.1212,8.37576,"HumanObservation",2008,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_1165","present",NA
"32","Larus atricilla","Laridae","10/2/2017",-52.530892,5.170447,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113766","present",NA
"33","Larus atricilla","Laridae","10/1/2017",-52.972895,5.469013,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113772","present",NA
"34","Larus atricilla","Laridae","9/30/2017",-52.24176,5.281857,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113767","present",NA
"35","Larus atricilla","Laridae","10/6/2017",-53.168772,5.751623,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113807","present",NA
"36","Larus atricilla","Laridae","9/30/2017",-52.390052,5.027037,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113745","present",NA
"37","Fregata magnificens","Fregatidae","10/4/2008",-52.02352,5.78501,"HumanObservation",2008,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_858","present",NA
"38","Larus atricilla","Laridae","10/5/2017",-53.327773,5.711007,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113802","present",NA
"39","Larus atricilla","Laridae","9/30/2017",-52.400087,5.011298,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113743","present",NA
"40","Larus atricilla","Laridae","9/30/2017",-52.346532,5.101487,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113759","present",NA
"41","Larus atricilla","Laridae","10/5/2017",-53.02995,5.678687,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113801","present",NA
"42","Sterna maxima","Sternidae","10/5/2017",-52.644787,5.415137,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_116948","present",NA
"43","Larus atricilla","Laridae","10/6/2017",-52.33621,8.12807,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113811","present",NA
"44","Larus atricilla","Laridae","10/5/2017",-53.457662,5.59797,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113794","present",NA
"45","Larus atricilla","Laridae","9/30/2017",-52.36452,5.069857,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113753","present",NA
"46","Larus atricilla","Laridae","9/30/2017",-52.363122,5.072282,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113754","present",NA
"47","Fregata magnificens","Fregatidae","10/4/2017",-51.402028,5.075933,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_112844","present",NA
"48","Anous stolidus","Sternidae","9/30/2017",-52.892152,7.178692,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_111853","present",NA
"49","Larus atricilla","Laridae","9/29/2017",-51.855508,5.089065,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113755","present",NA
