,Lat,Long,MeanSST,MaxSST,MinSST,MeanSSH,MaxSSH,MinSSH,MeanSa,MaxSa,MinSa,MeanML,MaxML,MinML,MeanNV,MaxNV,MinNV,MeanEV,MaxEv,MinEV
Sp90,-124.660975,45.077539,8.278066,8.807629,7.809447,-0.003495616,0,-0.08167335,32.48533,32.6604,32.35086,1.791314,26.63103,0,0.001827944,0.08208026,-0.01851456,0.001470197,0.05659004,-0.01956091
Su90,-122.902841,39.923257,13.91333,16.76986,12.88703,0.001138785,0.1651197,-0.0272196,32.44451,32.86342,32.18947,0.4187995,15.14299,0,-5.46E-05,0.05202679,-0.03915089,0.000682051,0.06972753,-0.01386412
Su00,-124.954157,46.259333,12.91256,13.28724,12.70541,-8.23E-05,0.01377402,-0.02553382,32.39693,32.4486,32.34097,0.1744766,15.50849,0,0.000201753,0.04919584,-0.03532009,0.000317387,0.04960275,0
Su10,-124.475926,44.388852,13.27585,13.35288,13.13493,3.74E-05,0.02077519,-0.009890258,32.33636,32.39805,32.26886,0.3595048,14.62628,0,0.00018324,0.0229454,-0.01123533,0.000383532,0.0358762,-0.006307158
F90,-122.755844,38.314738,12.46177,14.27072,8.688066,0.002025492,0.1771672,-0.04755075,32.67273,32.84627,32.28284,1.00026,48.53896,0,-0.00016385,0.03037318,-0.03229149,0.001083482,0.07022164,0
W00,-124.35855,48.3811,5.332554,5.350255,5.314853,-0.01912595,0,-0.09970397,32.51302,32.51442,32.51162,12.24403,61.47445,0,-0.002821945,0,-0.01529995,-0.00103356,0,-0.006551306
